"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.dembitskyi.com/uk/contacts","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/botuinoterapiya","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/pidtyazhka-verhnih-i-nizhnih-kinczivok","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/blefaroplastika","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/fileri-na-osnovi-negialuronovih-spoluk","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/minifleboktomiya","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/skleroobliteracziya","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/mamoplastika","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/pidtyazhka-oblichchya","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/fileri","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/likuvannya-varikozu-lazerom","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/liposakcziya","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
"Hyperlink","https://www.dembitskyi.com/uk/services/abdominoplastika","https://www.dembitskyi.com/uk/privacy","0","","Політика конфіденційності","404","Not Found","true","","","Root-Relative","//body/div[3]/footer/div[2]/div[2]/a","Footer","HTML"
